name,geographic_origin,meaning,etymology,image
Acacia,Australia,Thorny Tree,Greece,images/AcaciaFlower.jpg
Acanthus,Mediterranean,Enduring Life,Mediterranean,images/AcanthusFlower.jpg
Aloe,Arabian Peninsula,Forest,Greece,images/AloeFlower.jpg
Amaranth,Mediterranean,Unfading,Greece,images/AmaranthFlower.jpg
American Ash,Mexico,Spear,Latin,images/AmericanAshFlower.jpg
Angelica,Iceland,Angel,Greece,images/AngelicaFlower.jpg
Anthericum,Africa,Straw,Greece,images/AnthericumFlower.jpg
Arum,Europe,Arrow,Greece,images/ArumFlower.jpg
Aspen,Northern Hemisphere,Quaking Tree,America,images/AspenFlower.jpg
Aster,Greece,Star,Greece,images/AsterFlower.jpg
